Country,ISO,Structures_bn,Land_bn,Combined_bn,GDP_bn,FixedAssets_bn,MktCap_bn,S_GDP,C_GDP,S_MC,S_FA
United States,USA,71592.595,27567.40740740741,99160.0024074074,27360.0,88606.167,48979.0,2.61668841374269,3.62426909383799,1.461699810122706,0.8079865930776579
Germany,DEU,14029.17577068686,7491.159545700379,21520.33531638724,4429.0,16707.07733910222,2074.0,3.167571860620197,4.858960333345504,6.764308471883731,0.8397145404871116
Japan,JPN,13039.53096085409,10297.77651245552,23337.30747330961,4213.0,16488.04270462634,6149.0,3.095070249431306,5.539356153171044,2.120593748715904,0.7908477188256775
France,FRA,9350.778258518116,9067.621525148728,18418.39978366685,3031.0,10758.34277988102,2618.0,3.085047264440158,6.076674293522549,3.571725843589808,0.8691653026714151
Italy,ITA,6268.071498107085,,,2187.0,7509.761817198485,861.0,2.866059212668992,,7.279990125559913,0.8346564978601928
Mexico,MEX,6240.118633701979,440.911513096624,6681.030146798603,1424.0,7431.712259895227,577.0,4.382105782094088,4.691734653650705,10.81476366326166,0.8396609577279237
Korea,KOR,5557.417170866202,9106.14605192617,14663.56322279237,1712.0,7126.972351995099,1968.0,3.246154889524651,8.565165433874048,2.8238908388547768,0.7797725171910451
United Kingdom,GBR,5426.294132272502,8399.198160119344,13825.49229239185,3082.0,6868.848831427151,2670.0,1.760640536103992,4.485883287602805,2.0323198997275287,0.7899859591385232
Canada,CAN,5054.690672001186,4610.879454693636,9665.570126694822,2090.0,5651.308438912352,3101.0,2.418512283254156,4.624674701767857,1.630019565301898,0.8944283835574915
Spain,ESP,4941.94267171444,,,1581.0,5936.205516495403,770.0,3.125833441944617,,6.418107365862909,0.8325086889228942
Australia,AUS,4725.702517770544,6494.652228791603,11220.35474656215,1693.0,5896.432604796385,1789.0,2.791318675588035,6.627498373633873,2.641532989251282,0.8014511204497573
Netherlands,NLD,2574.261763115197,2422.095186587344,4996.356949702542,1108.0,3215.230935640887,1860.0,2.323340941439709,4.50934742752937,1.384011700599568,0.8006459923545348
Austria,AUT,1628.583782585181,1105.258991887507,2733.842774472688,516.0,1994.507113034072,126.0,3.156170121289111,5.298144911768775,12.92526811575541,0.816534457030718
Belgium,BEL,1615.776852352623,,,627.0,2054.000757166036,413.0,2.5769965747250767,,3.912292620708531,0.7866486157395371
Sweden,SWE,1530.291988689915,1042.88067860509,2573.172667295005,585.0,2005.231102733271,1420.0,2.615883741350283,4.398585756059838,1.0776704145703633,0.763149936485635
Norway,NOR,1162.7383522727273,,,547.0,1367.47196969697,379.0,2.125664263752701,,3.067911219716958,0.8502831341620762
Denmark,DNK,1131.06256350704,,,406.0,1414.11757874873,466.0,2.785868383022267,,2.427172883062318,0.7998362940285711
Czechia,CZE,983.4283205763168,395.6439891940567,1379.072309770374,330.0,1211.7758667267,35.0,2.9800858199282327,4.179006999304162,28.09795201646619,0.8115595858768792
Israel,ISR,955.2724469593672,,,522.0,1240.891148077447,264.0,1.830023844749746,,3.618456238482452,0.7698277551898098
Finland,FIN,926.703082747431,224.8696592752839,1151.572742022715,302.0,1091.233098972418,212.0,3.068553254130566,3.813154774909652,4.371240956355807,0.8492255995717874
Poland,POL,867.5552907530982,,,811.0,1073.139180171592,212.0,1.069735253702957,,4.092241937514614,0.8084275616648144
Chile,CHL,839.9412810153734,,,336.0,1004.263718746276,180.0,2.499825241117183,,4.666340450085409,0.8363752123435838
Ireland,IRL,796.0806554894538,,,550.0,1422.220991887507,138.0,1.447419373617189,,5.768700402097491,0.5597446951144573
Portugal,PRT,767.011608436993,,,287.0,880.821092482423,90.0,2.6725143151114734,,8.522351204855479,0.8707916000005403
Hungary,HUN,755.2138204474653,,,213.0,938.5754743698668,43.0,3.54560479083317,,17.56311210342943,0.8046383493607635
Greece,GRC,467.1182022714981,,,238.0,562.9467485127095,81.0,1.962681522149152,,5.7668913860678765,0.829773337363813
Slovak Republic,SVK,383.65644564629525,120.4461525148729,504.1025981611681,127.0,472.684354786371,5.0,3.020916894852719,3.969311796544631,76.73128912925905,0.8116546311749375
Croatia,HRV,291.6136581936182,,,71.0,361.2530849107626,25.0,4.107234622445326,,11.664546327744732,0.8072281466209572
Luxembourg,LUX,181.12220443482968,,,86.0,218.2615143320714,54.0,2.106072144591042,,3.35411489694129,0.8298403178824437
Lithuania,LTU,176.7160540832883,,,80.0,220.8867842076798,3.0,2.208950676041103,,58.90535136109609,0.8000300005143729
Slovenia,SVN,167.3941557598702,,,66.0,209.3659556517036,10.0,2.53627508727076,,16.73941557598702,0.7995290124357334
Estonia,EST,105.9180335316387,40.20615900486749,146.1241925365062,40.0,129.0764759329367,6.0,2.647950838290968,3.653104813412656,17.65300558860646,0.8205835553386952
Latvia,LVA,90.24045321795566,,,44.0,113.1983969713359,5.0,2.0509193913171746,,18.048090643591127,0.7971884375783728
China,CHN,52468.47168479028,,,17795.0,,,2.948495177566186,,,
Russian Federation,RUS,7963.212013139373,,,2240.0,,,3.555005363008648,,,
India,IND,7551.537265350612,,,3567.0,,,2.117055583221366,,,
Brazil,BRA,4426.695234281136,,,2082.0,,,2.126174464111978,,,
Indonesia,IDN,4292.867141825817,,,1373.0,,,3.126633023908098,,,
"Iran, Islamic Republic of",IRN,2816.0,,,704.0,,,4.0,,,
Türkiye ★,TUR,2588.026193493874,,,1108.0,,,2.335763712539598,,,
Switzerland ★,CHE,2485.418891855807,,,905.0,,,2.746319217520229,,,
Nigeria,NGA,2277.263128818061,,,477.0,,,4.774136538402644,,,
Saudi Arabia,SAU,1835.164933333333,,,1086.0,,,1.689838796807857,,,
Argentina,ARG,1761.737575143532,,,633.0,,,2.783155726925012,,,
"Taiwan, Province of China",TWN,1725.348333333334,,,751.0,,,2.297401242787395,,,
Hong Kong,HKG,1326.690509643633,,,382.0,,,3.473011805349823,,,
United Arab Emirates,ARE,1239.788047917234,,,504.0,,,2.459896920470702,,,
Singapore,SGP,931.1725614296352,,,502.0,,,1.854925421174572,,,
Colombia ★,COL,929.520735844696,,,363.0,,,2.560663184145168,,,
Bangladesh,BGD,914.2516069788796,,,446.0,,,2.04989149546834,,,
Thailand,THA,869.7747126436782,,,514.0,,,1.692168701641397,,,
Philippines,PHL,856.6571377395666,,,437.0,,,1.960313816337681,,,
Viet Nam,VNM,838.0753157607096,,,430.0,,,1.949012362234208,,,
New Zealand ★,NZL,805.7579036218538,,,244.0,,,3.3022864902535,,,
Algeria,DZA,767.5893215339233,,,240.0,,,3.198288839724681,,,
South Africa,ZAF,725.3113759479955,,,380.0,,,1.908714147231567,,,
Ukraine,UKR,700.0,,,175.0,,,4.0,,,
Malaysia,MYS,665.8934282584884,,,399.0,,,1.668905835234307,,,
Romania,ROU,639.8571818976826,,,,,,,,,
Peru,PER,627.1933458043827,,,267.0,,,2.349038748331021,,,
Egypt,EGY,438.7615284128021,,,396.0,,,1.107983657608086,,,
Kazakhstan,KAZ,414.01806225339766,,,261.0,,,1.58627610058773,,,
Qatar,QAT,384.313032134029,,,220.0,,,1.746877418791041,,,
Dominican Republic,DOM,381.40314905528334,,,121.0,,,3.152092140952756,,,
Iraq,IRQ,360.8829312977098,,,,,,,,,
